Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1644430081,5/10/2016,9167,6.659999847,6.659999847,0,0.879999995,0.810000002,4.96999979,0.01,12,19,155,1254,2799,1,332,512
1644430081,5/11/2016,1329,0.970000029,0.970000029,0,0,0,0.949999988,0.01,0,0,49,713,1276,1,355,476
1844505072,4/12/2016,6697,4.429999828,4.429999828,0,0,0,4.429999828,0,0,0,339,1101,2030,1,235,372
1844505072,4/13/2016,4929,3.25999999,3.25999999,0,0,0,3.25999999,0,0,0,248,1192,1860,1,310,526
1844505072,4/14/2016,7937,5.25,5.25,0,0,0,5.230000019,0,0,0,373,843,2130,1,262,467
1844505072,4/15/2016,3844,2.539999962,2.539999962,0,0,0,2.539999962,0,0,0,176,527,1725,1,250,371
1844505072,4/16/2016,3414,2.25999999,2.25999999,0,0,0,2.25999999,0,0,0,147,1293,1657,1,349,540
1844505072,4/17/2016,4525,2.99000001,2.99000001,0,0.140000001,0.25999999,2.589999914,0,2,8,199,1231,1793,1,261,423
1844505072,4/18/2016,4597,3.039999962,3.039999962,0,0,0.479999989,2.559999943,0,0,12,217,1211,1814,1,333,478
1844505072,4/19/2016,197,0.129999995,0.129999995,0,0,0,0.129999995,0,0,0,10,1430,1366,1,237,382
1844505072,4/20/2016,8,0.01,0.01,0,0,0,0.01,0,0,0,1,1439,1349,1,383,626
1844505072,4/21/2016,8054,5.320000172,5.320000172,0,0.119999997,0.519999981,4.679999828,0,2,13,308,1117,2062,1,230,384
1844505072,4/22/2016,5372,3.549999952,3.549999952,0,0,0,3.549999952,0,0,0,220,1220,1827,1,292,500
1844505072,4/23/2016,3570,2.359999895,2.359999895,0,0,0,2.359999895,0,0,0,139,1301,1645,1,213,336
1844505072,4/24/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1347,1,318,480
1844505072,4/25/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1347,1,323,512
1844505072,4/26/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1347,1,237,443
1844505072,4/27/2016,4,0,0,0,0,0,0,0,0,0,1,1439,1348,2,259,456
1844505072,4/28/2016,6907,4.570000172,4.570000172,0,0,0,4.559999943,0,0,0,302,1138,1992,1,312,452
1844505072,4/29/2016,4920,3.25,3.25,0,0,0,3.25,0,0,0,247,1082,1856,1,501,541
1844505072,4/30/2016,4014,2.670000076,2.670000076,0,0,0,2.650000095,0,0,0,184,218,1763,1,77,77
1844505072,5/1/2016,2573,1.700000048,1.700000048,0,0,0.25999999,1.450000048,0,0,7,75,585,1541,1,322,332
1844505072,5/2/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1348,1,478,536
1844505072,5/3/2016,4059,2.680000067,2.680000067,0,0,0,2.680000067,0,0,0,184,1256,1742,1,226,248
1844505072,5/4/2016,2080,1.370000005,1.370000005,0,0,0,1.370000005,0,0,0,87,1353,1549,1,385,408
1844505072,5/5/2016,2237,1.480000019,1.480000019,0,0,0,1.480000019,0,0,0,120,1320,1589,1,364,402
1844505072,5/6/2016,44,0.029999999,0.029999999,0,0,0,0.029999999,0,0,0,2,1438,1351,1,442,494
1844505072,5/7/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1347,1,535,557
1844505072,5/8/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1347,1,465,491
1844505072,5/9/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1347,1,506,522
1844505072,5/10/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1347,1,515,551
1844505072,5/11/2016,0,0,0,0,0,0,0,0,0,0,0,1440,1347,2,461,498
1844505072,5/12/2016,0,0,0,0,0,0,0,0,0,0,0,711,665,1,523,543
1927972279,4/12/2016,678,0.469999999,0.469999999,0,0,0,0.469999999,0,0,0,55,734,2220,1,59,65
1927972279,4/13/2016,356,0.25,0.25,0,0,0,0.25,0,0,0,32,986,2151,1,533,550
1927972279,4/14/2016,2163,1.5,1.5,0,0,0.400000006,1.100000024,0,0,9,88,1292,2383,1,692,722
1927972279,4/15/2016,980,0.680000007,0.680000007,0,0,0,0.680000007,0,0,0,51,941,2221,1,467,501
1927972279,4/16/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2064,1,488,506
1927972279,4/17/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,505,516
1927972279,4/18/2016,244,0.170000002,0.170000002,0,0,0,0.170000002,0,0,0,17,1423,2111,1,286,307
1927972279,4/19/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,497,522
1927972279,4/20/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,523,546
1927972279,4/21/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2064,1,490,516
1927972279,4/22/2016,149,0.100000001,0.100000001,0,0,0,0.100000001,0,0,0,10,1430,2093,1,484,500
1927972279,4/23/2016,2945,2.039999962,2.039999962,0,0,0,2.039999962,0,0,0,145,1295,2499,1,478,506
1927972279,4/24/2016,2090,1.450000048,1.450000048,0,0.07,0.239999995,1.139999986,0,1,6,75,1358,2324,1,474,512
1927972279,4/25/2016,152,0.109999999,0.109999999,0,0,0,0.109999999,0,0,0,12,1303,2100,1,450,491
1927972279,4/26/2016,3761,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,192,1058,2638,1,507,530
1927972279,4/27/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,602,638
1927972279,4/28/2016,1675,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,95,1167,2351,1,535,565
1927972279,4/29/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,487,517
1927972279,4/30/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2064,1,529,558
